"Region","reserve_ct","station_ct","decreasing","increasing","no_trend","insuff_data","parameter"
"Caribbean",1,1,0,1,0,0,"atemp"
"Great Lakes",2,2,0,0,1,1,"atemp"
"Gulf of Mexico",5,5,0,0,5,0,"atemp"
"Midatlantic",5,5,0,0,5,0,"atemp"
"Northeast",4,4,0,0,4,0,"atemp"
"Pacific",1,NA,NA,NA,NA,NA,"atemp"
"Southeast",5,5,0,2,3,0,"atemp"
"West Coast",6,6,0,5,0,1,"atemp"
"Caribbean",1,1,0,0,1,0,"bp"
"Great Lakes",2,2,0,1,0,1,"bp"
"Gulf of Mexico",5,5,1,2,2,0,"bp"
"Midatlantic",5,5,0,3,2,0,"bp"
"Northeast",4,4,0,2,2,0,"bp"
"Pacific",1,NA,NA,NA,NA,NA,"bp"
"Southeast",5,5,0,1,4,0,"bp"
"West Coast",6,6,0,1,4,1,"bp"
"Caribbean",1,4,0,1,3,0,"chla_n"
"Great Lakes",2,8,0,1,3,4,"chla_n"
"Gulf of Mexico",5,21,2,5,14,0,"chla_n"
"Midatlantic",5,20,2,3,15,0,"chla_n"
"Northeast",4,16,1,1,14,0,"chla_n"
"Pacific",1,NA,NA,NA,NA,NA,"chla_n"
"Southeast",5,20,8,5,6,1,"chla_n"
"West Coast",6,25,3,1,21,0,"chla_n"
"Caribbean",1,4,1,3,0,0,"depth"
"Great Lakes",2,8,0,3,1,4,"depth"
"Gulf of Mexico",5,21,5,12,4,0,"depth"
"Midatlantic",5,20,5,11,0,4,"depth"
"Northeast",4,16,1,12,3,0,"depth"
"Pacific",1,NA,NA,NA,NA,NA,"depth"
"Southeast",5,20,2,13,4,1,"depth"
"West Coast",6,24,3,14,6,1,"depth"
"Caribbean",1,4,0,0,4,0,"din"
"Great Lakes",2,8,1,0,3,4,"din"
"Gulf of Mexico",5,21,4,2,15,0,"din"
"Midatlantic",5,20,3,2,11,4,"din"
"Northeast",4,16,1,2,13,0,"din"
"Pacific",1,NA,NA,NA,NA,NA,"din"
"Southeast",5,20,5,6,8,1,"din"
"West Coast",6,25,3,0,17,5,"din"
"Caribbean",1,4,2,0,2,0,"dip"
"Great Lakes",2,8,0,0,4,4,"dip"
"Gulf of Mexico",5,21,9,4,8,0,"dip"
"Midatlantic",5,20,3,6,11,0,"dip"
"Northeast",4,16,1,9,6,0,"dip"
"Pacific",1,NA,NA,NA,NA,NA,"dip"
"Southeast",5,20,6,3,10,1,"dip"
"West Coast",6,25,9,1,15,0,"dip"
"Caribbean",1,4,0,2,2,0,"do_mgl"
"Great Lakes",2,8,3,1,3,1,"do_mgl"
"Gulf of Mexico",5,21,9,3,9,0,"do_mgl"
"Midatlantic",5,20,5,0,15,0,"do_mgl"
"Northeast",4,16,11,0,5,0,"do_mgl"
"Pacific",1,NA,NA,NA,NA,NA,"do_mgl"
"Southeast",5,20,6,1,12,1,"do_mgl"
"West Coast",6,24,11,2,11,0,"do_mgl"
"Caribbean",1,1,0,0,1,0,"maxwspd"
"Great Lakes",2,2,0,0,1,1,"maxwspd"
"Gulf of Mexico",5,5,3,0,2,0,"maxwspd"
"Midatlantic",5,5,2,0,3,0,"maxwspd"
"Northeast",4,4,0,0,4,0,"maxwspd"
"Pacific",1,NA,NA,NA,NA,NA,"maxwspd"
"Southeast",5,5,2,0,3,0,"maxwspd"
"West Coast",6,6,0,0,5,1,"maxwspd"
"Caribbean",1,4,2,0,2,0,"nh4f"
"Great Lakes",2,8,1,0,3,4,"nh4f"
"Gulf of Mexico",5,21,5,1,15,0,"nh4f"
"Midatlantic",5,20,4,4,12,0,"nh4f"
"Northeast",4,16,3,2,11,0,"nh4f"
"Pacific",1,NA,NA,NA,NA,NA,"nh4f"
"Southeast",5,20,8,3,8,1,"nh4f"
"West Coast",6,25,1,5,19,0,"nh4f"
"Caribbean",1,4,0,4,0,0,"no23f"
"Great Lakes",2,8,0,0,4,4,"no23f"
"Gulf of Mexico",5,21,6,1,14,0,"no23f"
"Midatlantic",5,20,3,3,10,4,"no23f"
"Northeast",4,16,3,4,9,0,"no23f"
"Pacific",1,NA,NA,NA,NA,NA,"no23f"
"Southeast",5,20,4,8,7,1,"no23f"
"West Coast",6,25,6,1,13,5,"no23f"
"Caribbean",1,4,0,4,0,0,"no2f"
"Great Lakes",2,8,0,0,4,4,"no2f"
"Gulf of Mexico",5,21,7,0,5,9,"no2f"
"Midatlantic",5,20,1,5,6,8,"no2f"
"Northeast",4,16,3,0,1,12,"no2f"
"Pacific",1,NA,NA,NA,NA,NA,"no2f"
"Southeast",5,20,7,2,7,4,"no2f"
"West Coast",6,25,0,1,11,13,"no2f"
"Caribbean",1,4,0,2,0,2,"no3f"
"Great Lakes",2,8,2,0,2,4,"no3f"
"Gulf of Mexico",5,21,0,1,7,13,"no3f"
"Midatlantic",5,20,3,0,13,4,"no3f"
"Northeast",4,16,0,0,0,16,"no3f"
"Pacific",1,NA,NA,NA,NA,NA,"no3f"
"Southeast",5,20,5,3,4,8,"no3f"
"West Coast",6,25,4,1,9,11,"no3f"
"Caribbean",1,4,1,2,1,0,"ph"
"Great Lakes",2,8,2,0,5,1,"ph"
"Gulf of Mexico",5,21,12,0,9,0,"ph"
"Midatlantic",5,20,10,1,9,0,"ph"
"Northeast",4,16,5,5,6,0,"ph"
"Pacific",1,NA,NA,NA,NA,NA,"ph"
"Southeast",5,20,13,0,6,1,"ph"
"West Coast",6,24,18,1,5,0,"ph"
"Caribbean",1,4,2,0,2,0,"po4f"
"Great Lakes",2,8,0,0,4,4,"po4f"
"Gulf of Mexico",5,21,9,4,8,0,"po4f"
"Midatlantic",5,20,3,6,11,0,"po4f"
"Northeast",4,16,1,9,6,0,"po4f"
"Pacific",1,NA,NA,NA,NA,NA,"po4f"
"Southeast",5,20,6,3,10,1,"po4f"
"West Coast",6,25,9,1,15,0,"po4f"
"Caribbean",1,1,0,0,1,0,"rh"
"Great Lakes",2,2,0,0,1,1,"rh"
"Gulf of Mexico",5,5,0,3,2,0,"rh"
"Midatlantic",5,5,1,3,1,0,"rh"
"Northeast",4,4,1,0,3,0,"rh"
"Pacific",1,NA,NA,NA,NA,NA,"rh"
"Southeast",5,5,0,2,3,0,"rh"
"West Coast",6,6,1,2,2,1,"rh"
"Caribbean",1,4,0,0,4,0,"sal"
"Great Lakes",2,8,2,0,5,1,"sal"
"Gulf of Mexico",5,21,16,2,3,0,"sal"
"Midatlantic",5,20,4,3,13,0,"sal"
"Northeast",4,16,0,15,1,0,"sal"
"Pacific",1,NA,NA,NA,NA,NA,"sal"
"Southeast",5,20,16,0,3,1,"sal"
"West Coast",6,24,6,7,11,0,"sal"
"Caribbean",1,5,0,3,2,0,"temp"
"Great Lakes",2,10,0,1,7,2,"temp"
"Gulf of Mexico",5,26,1,1,24,0,"temp"
"Midatlantic",5,25,0,1,24,0,"temp"
"Northeast",4,20,0,7,13,0,"temp"
"Pacific",1,NA,NA,NA,NA,NA,"temp"
"Southeast",5,25,0,6,18,1,"temp"
"West Coast",6,30,0,28,1,1,"temp"
"Caribbean",1,1,0,0,1,0,"totpar"
"Great Lakes",2,2,0,0,1,1,"totpar"
"Gulf of Mexico",5,5,1,1,3,0,"totpar"
"Midatlantic",5,5,1,1,3,0,"totpar"
"Northeast",4,4,0,3,0,1,"totpar"
"Pacific",1,NA,NA,NA,NA,NA,"totpar"
"Southeast",5,5,0,1,3,1,"totpar"
"West Coast",6,6,0,4,1,1,"totpar"
"Caribbean",1,1,0,0,1,0,"totprcp"
"Great Lakes",2,2,0,0,1,1,"totprcp"
"Gulf of Mexico",5,5,0,1,4,0,"totprcp"
"Midatlantic",5,5,1,0,4,0,"totprcp"
"Northeast",4,4,1,0,3,0,"totprcp"
"Pacific",1,NA,NA,NA,NA,NA,"totprcp"
"Southeast",5,5,0,1,4,0,"totprcp"
"West Coast",6,6,0,1,4,1,"totprcp"
"Caribbean",1,4,3,0,1,0,"turb"
"Great Lakes",2,8,1,0,6,1,"turb"
"Gulf of Mexico",5,21,8,1,12,0,"turb"
"Midatlantic",5,20,6,2,12,0,"turb"
"Northeast",4,16,6,2,8,0,"turb"
"Pacific",1,NA,NA,NA,NA,NA,"turb"
"Southeast",5,20,3,11,5,1,"turb"
"West Coast",6,24,7,8,9,0,"turb"
"Caribbean",1,2,0,0,2,0,"wspd"
"Great Lakes",2,4,1,0,1,2,"wspd"
"Gulf of Mexico",5,10,6,0,4,0,"wspd"
"Midatlantic",5,10,3,0,7,0,"wspd"
"Northeast",4,8,2,0,6,0,"wspd"
"Pacific",1,NA,NA,NA,NA,NA,"wspd"
"Southeast",5,10,5,0,5,0,"wspd"
"West Coast",6,12,0,0,10,2,"wspd"
